team,player,player_id,position,competition,season,games,possible_games,goals,assists,minutes,start11_pct,yellow,red,clean_sheets,conceded,minutes_pct,second_yellow,gc_pct,gc_pct_nopen
Argentina,Alexis Mac Allister,534033,Central Midfield,UEFA Champions League,25/26,12,12,3,1,853,75.0,3,0,0,0,78.98148148148148,0,16.666666666666664,16.666666666666664
Argentina,Alexis Mac Allister,534033,Central Midfield,Community Shield,25/26,1,1,0,0,19,0.0,0,0,0,0,21.11111111111111,0,0.0,0.0
Argentina,Alexis Mac Allister,534033,Central Midfield,FA Cup,25/26,4,4,0,2,283,75.0,0,0,0,0,78.61111111111111,0,20.0,20.0
Argentina,Alexis Mac Allister,534033,Central Midfield,EFL Cup,25/26,1,2,0,0,67,50.0,0,0,0,0,37.22222222222222,0,0.0,0.0
Argentina,Valentín Barco,849410,Central Midfield,Ligue 1,25/26,27,34,2,4,2171,70.58823529411765,5,1,0,0,70.94771241830065,0,10.344827586206897,11.76470588235294
Argentina,Valentín Barco,849410,Central Midfield,Conference League,25/26,10,12,1,0,666,50.0,2,0,0,0,61.66666666666667,0,5.555555555555555,5.555555555555555
Argentina,Valentín Barco,849410,Central Midfield,UECL Qualifying,25/26,2,2,0,0,178,100.0,0,0,0,0,98.88888888888889,0,0.0,0.0
Argentina,Valentín Barco,849410,Central Midfield,Coupe de France,25/26,4,5,0,5,344,80.0,1,0,0,0,76.44444444444444,0,38.46153846153847,38.46153846153847
Argentina,Exequiel Palacios,401578,Central Midfield,Bundesliga,25/26,18,34,0,1,1097,35.294117647058826,3,0,0,0,35.849673202614376,0,1.4705882352941175,2.5
Argentina,Exequiel Palacios,401578,Central Midfield,UEFA Champions League,25/26,5,12,0,0,335,33.33333333333333,2,0,0,0,31.01851851851852,0,0.0,0.0
Argentina,Exequiel Palacios,401578,Central Midfield,DFB-Pokal,25/26,2,5,0,0,148,40.0,0,0,0,0,30.833333333333336,0,0.0,0.0
Argentina,Rodrigo De Paul,255901,Central Midfield,MLS,2026,13,15,4,4,1170,86.66666666666667,4,0,0,0,86.66666666666667,0,20.51282051282051,22.22222222222222
Argentina,Rodrigo De Paul,255901,Central Midfield,CONCACAF Champions Cup,25/26,2,2,0,0,180,100.0,0,0,0,0,100.0,0,0.0,0.0
Argentina,Nico Paz,948294,Attacking Midfield,Serie A,25/26,35,38,12,7,2886,86.8421052631579,5,0,0,0,84.3859649122807,0,29.230769230769234,30.64516129032258
Argentina,Nico Paz,948294,Attacking Midfield,Italy Cup,25/26,5,6,1,1,405,66.66666666666666,1,0,0,0,75.0,0,10.526315789473683,16.666666666666664
Argentina,Giovani Lo Celso,348795,Attacking Midfield,LaLiga,25/26,24,38,2,3,1397,39.473684210526315,4,0,0,0,40.847953216374265,0,8.47457627118644,10.869565217391305
Argentina,Giovani Lo Celso,348795,Attacking Midfield,Europa League,25/26,6,12,1,0,321,33.33333333333333,0,0,0,0,29.72222222222222,0,5.0,11.11111111111111
Argentina,Giovani Lo Celso,348795,Attacking Midfield,Copa del Rey,25/26,2,5,0,0,59,20.0,0,0,0,0,13.111111111111112,0,0.0,0.0
Argentina,Nico González,486031,Left Winger,LaLiga,25/26,24,35,5,0,1454,51.42857142857142,4,1,0,0,46.15873015873016,0,8.47457627118644,11.11111111111111
Argentina,Nico González,486031,Left Winger,UEFA Champions League,25/26,11,16,0,0,394,25.0,0,0,0,0,27.361111111111114,0,0.0,0.0
Argentina,Nico González,486031,Left Winger,Copa del Rey,25/26,2,6,0,0,66,0.0,0,0,0,0,11.578947368421053,0,0.0,0.0
Argentina,Nico González,486031,Left Winger,Serie A,25/26,2,2,0,0,17,0.0,0,0,0,0,9.444444444444445,0,0.0,0.0
Argentina,Thiago Almada,576028,Left Winger,LaLiga,25/26,27,38,3,1,1312,42.10526315789473,2,1,0,0,38.3625730994152,0,6.451612903225806,8.695652173913043
Argentina,Thiago Almada,576028,Left Winger,UEFA Champions League,25/26,7,16,0,0,172,6.25,2,0,0,0,11.944444444444445,0,0.0,0.0
Argentina,Thiago Almada,576028,Left Winger,Copa del Rey,25/26,5,6,1,1,204,16.666666666666664,0,0,0,0,35.78947368421053,0,11.11111111111111,13.333333333333334
Argentina,Thiago Almada,576028,Left Winger,Supercopa,25/26,1,1,0,0,16,0.0,0,0,0,0,17.77777777777778,0,0.0,0.0
Argentina,Giuliano Simeone,742201,Right Winger,LaLiga,25/26,31,38,4,6,2110,65.78947368421053,2,0,0,0,61.69590643274854,0,16.129032258064516,17.543859649122805
Argentina,Giuliano Simeone,742201,Right Winger,UEFA Champions League,25/26,15,16,2,1,1192,93.75,2,0,0,0,82.77777777777777,0,8.571428571428571,8.571428571428571
