player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Vincenzo Grifo","Freiburg","M S","1733","33","7","4","30","39","5.46098705381155","5.387601099908352","3","2.429960750043392"
"Chris Führich","VfB Stuttgart","F M S","1727","33","7","7","45","49","4.271757278591394","7.827977802604437","7","4.271757278591394"
"Ragnar Ache","FC Cologne","F S","1739","29","7","4","52","28","11.002535559237003","2.971193479374051","7","11.002535559237003"
"Jamie Leweling","VfB Stuttgart","D M S","2385","32","7","9","49","41","4.102848822250962","6.05470309779048","7","4.102848822250962"
"Jakub Kaminski","FC Cologne","D F M","3031","34","7","3","62","50","7.96647222340107","5.589305056259036","7","7.96647222340107"
"Karim Adeyemi","Borussia Dortmund","F M S","1218","28","7","4","31","16","5.2152209877967834","3.458098405972123","7","5.2152209877967834"
"Fábio Vieira","Hamburger SV","F M S","2241","29","7","5","59","39","4.894621319137514","4.638651036657393","6","4.136844581924379"
"Michael Gregoritsch","Augsburg","F S","926","17","6","2","29","7","6.215451763942838","1.5184729620814323","5","5.457675086334348"
"Maximilian Mittelstädt","VfB Stuttgart","D M S","2200","32","6","4","31","37","4.954262416809797","5.520105980336666","2","1.9231557194143534"
"Oliver Burke","Union Berlin","F M S","1699","29","6","2","34","23","6.0373401287943125","2.2901990823447704","6","6.0373401287943125"
"Arnaud Kalimuendo Muinga","Eintracht Frankfurt","F M S","1431","19","6","1","30","22","4.879936292767525","1.597496423870325","6","4.879936292767525"
"Malik Tillman","Bayer Leverkusen","M S","1681","29","6","1","34","27","5.122428148984909","3.6048070788383484","6","5.122428148984909"
"Anton Kade","Augsburg","D F M S","1740","28","6","0","48","25","6.7122930232435465","3.0941985473036766","6","6.7122930232435465"
"Phillip Tietz","Augsburg,Mainz 05","F S","1811","29","6","2","51","19","11.598579058423638","1.9211469320580363","6","10.840802321210504"
"Fabian Rieder","Augsburg","D F M S","2387","32","6","3","38","44","4.166463605128229","5.375069449655712","4","2.6509102871641517"
"Budu Zivzivadze","FC Heidenheim","F S","1148","20","6","0","28","7","5.819976218044758","0.9086363017559052","6","5.819976218044758"
"Luka Vuskovic","Hamburger SV","D S","2440","28","6","0","31","11","4.682130139321089","0.5671260496601462","5","3.924353461712599"
"Gian-Luca Waldschmidt","FC Cologne","F M S","633","24","5","5","26","14","5.948785305023193","2.634590631350875","3","4.433231964707375"
"Leon Goretzka","Bayern Munich","M S","2004","31","5","3","35","21","4.884574018418789","2.346890510059893","5","4.884574018418789"
"Kevin Diks","Borussia M.Gladbach","D S","2472","30","5","0","23","8","4.184454521164298","0.704138720408082","1","1.1533477455377579"
"Ramy Bensebaini","Borussia Dortmund","D S","1524","21","5","2","17","11","3.257725358940661","0.7206321377307177","3","1.742172003723681"
"Raphael Guerreiro","Bayern Munich","M S","779","18","5","2","12","19","3.528638795018196","2.275534149259329","5","3.528638795018196"
"Rani Khedira","Union Berlin","M","2854","32","5","1","23","16","2.2710952758789062","2.3157351221889257","5","2.2710952758789062"
"Alexis Claude Maurice","Augsburg","F M S","2135","29","5","4","71","32","6.339031929150224","3.215671157464385","4","4.82347852922976"
"Nico Schlotterbeck","Borussia Dortmund","D","2520","28","5","1","32","12","3.80366291385144","1.0600993894040585","5","3.80366291385144"
"Rayan Philippe","Hamburger SV","F M S","1272","28","5","0","39","15","5.646055448800325","1.3564898148179054","5","4.888278741389513"
