player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Gustavo Scarpa","Atlético Mineiro","318","1","0","14","3","4","2","0.59","0.47"
"Vini Paulista","Coritiba","718","0","0","8","1","6","6","0.58","0.21"
"Yeferson Soteldo","Fluminense","533","0","0","7","3","15","14","0.58","1.41"
"João Victor","Mirassol","1530","0","1","7","1","4","2","0.58","0.14"
"Everton","Flamengo","369","1","1","12","2","8","10","0.57","0.79"
"Cacá","Vitória","1065","1","0","5","2","1","2","0.57","0.04"
"Adson","Vasco da Gama","398","0","0","16","5","8","10","0.57","0.88"
"Ganso","Fluminense","354","0","0","5","2","7","0","0.56","0.35"
"Erick Noriega","Grêmio","948","1","1","7","3","10","6","0.56","0.46"
"Gabriel Girotto","Red Bull Bragantino","1196","2","0","18","7","9","2","0.56","0.76"
"Mateo Ponte","Botafogo","580","0","1","2","0","6","9","0.55","0.29"
"Gastón Benavídez","Athletico","1350","0","5","6","3","20","6","0.55","1.73"
"Robert Renan","Vasco da Gama","1620","1","0","6","2","11","5","0.55","0.46"
"Felipe Jonatan","Coritiba","547","0","0","7","2","3","4","0.54","0.15"
"Paulinho Paula","Internacional","703","0","0","9","3","8","5","0.54","0.54"
"Antonio Galeano","Mirassol","287","0","0","8","4","1","3","0.54","0.14"
"Pedro Henrique","Red Bull Bragantino","803","0","0","3","0","1","1","0.54","0.15"
"Lautaro Díaz","Santos","262","1","0","7","2","4","2","0.53","0.24"
"José Aldo","Mirassol","1082","0","1","13","4","23","7","0.52","0.95"
"Reinaldo","Mirassol","1150","0","1","16","2","35","9","0.51","2.64"
"Chris Ramos","Botafogo","25","0","0","3","0","0","0","0.51","0.01"
"Marlon Freitas","Palmeiras","1487","2","1","11","3","27","1","0.5","2.54"
"Sebastian Gomez","Coritiba","1199","0","0","13","4","6","3","0.49","0.22"
"Renê","Fluminense","846","0","2","7","3","11","7","0.49","0.65"
"Hugo Moura","Vasco da Gama","581","1","0","3","1","3","0","0.48","0.22"
"Kaio César","Corinthians","295","1","1","6","4","5","10","0.47","0.35"
"Rodrigo Nestor","Bahia","372","0","0","13","1","9","8","0.47","1.22"
"Leozinho","Athletico","83","0","0","5","1","6","1","0.47","0.42"
"Mamady Cissé","Atlético Mineiro","177","1","0","6","2","3","2","0.46","0.13"
"Davi Gomes","Red Bull Bragantino","23","0","0","5","2","1","3","0.46","0.07"
"Gabriel Menino","Santos","433","1","0","11","3","7","4","0.46","0.6"
"Miguelito","Santos","408","1","2","9","2","8","7","0.46","1.26"
"Eric Ramires","Red Bull Bragantino","337","0","0","2","0","2","0","0.45","0.09"
"Carlos Terán","Athletico","764","0","0","6","3","2","0","0.45","0.17"
"Kaique Kenji","Cruzeiro","190","1","0","6","3","5","4","0.44","0.43"
"Cristian Pavón","Grêmio","1242","0","2","9","4","29","22","0.44","2.66"
"Lucas Esquivel","Athletico","1120","1","3","13","3","19","13","0.43","2.13"
"Shaylon","Mirassol","842","1","1","10","4","11","4","0.43","0.67"
"Willian Machado","Mirassol","1350","1","1","9","5","8","1","0.43","0.83"
"Gabriel Paulista","Corinthians","1260","1","0","14","2","3","0","0.43","0.2"
"Fabrício Santos","Vitória","216","0","1","5","2","2","4","0.42","0.49"
"Arthur Gabriel","Palmeiras","810","0","0","8","1","5","5","0.41","0.28"
"João Schmidt","Santos","630","0","0","6","0","6","1","0.41","0.26"
"Japa","Cruzeiro","78","1","0","5","1","0","0","0.41","0.02"
