player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Jackson Tchatchoua","Wolverhampton Wanderers","D S","1822","31","0","1","3","21","0.10550510138273239","2.24295702483505","0","0.10550510138273239"
"Alex Murphy","Newcastle United","S","2","2","0","0","0","0","0","0","0","0"
"Treymaurice Nyoni","Liverpool","S","13","6","0","0","1","1","0.4788391590118408","0.04941660165786743","0","0.4788391590118408"
"Tawanda Chirewa","Wolverhampton Wanderers","S","20","2","0","0","0","0","0","0","0","0"
"Myles Lewis-Skelly","Arsenal","D M S","666","20","0","0","2","4","0.12569395825266838","0.17853078991174698","0","0.12569395825266838"
"Oliver Scarles","West Ham","D S","665","13","0","0","3","5","0.23875021189451218","0.97617865819484","0","0.23875021189451218"
"Callum Marshall","West Ham","S","44","2","0","0","1","0","0.2289344072341919","0","0","0.2289344072341919"
"Lucas Perri","Leeds","GK","1440","16","0","0","0","0","0","0","0","0"
"George Earthy","West Ham","S","7","1","0","0","0","0","0","0","0","0"
"Tyrique George","Chelsea,Everton","M S","328","15","0","0","10","3","0.8288742527365685","1.341641515493393","0","0.8288742527365685"
"Hákon Valdimarsson","Brentford","GK","90","1","0","0","0","0","0","0","0","0"
"Christantus Uche","Crystal Palace","S","109","14","0","0","6","0","0.7797833420336246","0","0","0.7797833420336246"
"Harrison Armstrong","Everton","M S","520","13","0","0","5","4","0.43910516798496246","0.12138871103525162","0","0.43910516798496246"
"Jota Silva","Nottingham Forest","S","7","1","0","0","0","0","0","0","0","0"
"Andy Irving","West Ham","M S","178","7","0","0","0","3","0","0.20211828127503395","0","0"
"Mads Hermansen","West Ham","GK","1620","18","0","1","0","2","0","0.03719637915492058","0","0"
"Luis Guilherme","West Ham","F S","118","5","0","0","1","1","0.039350125938653946","0.05179738998413086","0","0.039350125938653946"
"Lutsharel Geertruida","Sunderland","D M S","1659","28","0","0","11","8","0.8372280839830637","0.773734993301332","0","0.8372280839830637"
"Ayden Heaven","Manchester United","D S","923","17","0","1","3","2","0.21505310852080584","0.365470789372921","0","0.21505310852080584"
"Jaydee Canvot","Crystal Palace","D S","1334","20","0","0","7","3","1.5658284928649664","0.0823616674169898","0","1.5658284928649664"
"Dário Essugo","Chelsea","S","24","3","0","0","0","0","0","0","0","0"
"Jack Fletcher","Manchester United","S","97","3","0","0","1","2","0.037386249750852585","0.11487564817070961","0","0.037386249750852585"
"Pedro Lima","Wolverhampton Wanderers","D S","254","9","0","0","4","3","0.4996851459145546","0.21663446724414825","0","0.4996851459145546"
"Fernando López","Wolverhampton Wanderers","M S","211","9","0","1","5","3","0.21815450862050056","0.5119961202144623","0","0.21815450862050056"
"Callum Olusesi","Tottenham","S","12","1","0","0","0","0","0","0","0","0"
"Ben Winterburn","Bournemouth","S","3","1","0","0","0","0","0","0","0","0"
"Ezra Mayers","West Ham","S","96","6","0","0","1","2","0.10989412665367126","0.11634047329425812","0","0.10989412665367126"
"Jonah Kusi-Asare","Fulham","S","28","7","0","0","0","1","0","0.081977978348732","0","0"
"Max Alleyne","Manchester City","D","138","2","0","0","2","1","0.38138192892074585","0.032163284718990326","0","0.38138192892074585"
"Zach Abbott","Nottingham Forest","D S","166","3","0","0","0","0","0","0","0","0"
"Jamaldeen Jimoh","Aston Villa","S","5","1","0","0","0","0","0","0","0","0"
"Antonín Kinsky","Tottenham","GK","630","7","0","0","0","0","0","0","0","0"
"Romain Esse","Crystal Palace","S","29","4","0","0","0","0","0","0","0","0"
"Andrés García","Aston Villa","D S","82","6","0","0","0","0","0","0","0","0"
"Joe Knight","Brighton","S","1","1","0","0","0","0","0","0","0","0"
"Tyler Fredricson","Manchester United","S","1","1","0","0","0","0","0","0","0","0"
"Julio Soler","Bournemouth","S","27","3","0","0","0","0","0","0","0","0"
"Shumaira Mheuka","Chelsea","S","1","1","0","0","0","0","0","0","0","0"
"Sean Neave","Newcastle United","S","7","1","0","0","1","0","0.034735776484012604","0","0","0.034735776484012604"
"Harry Howell","Brighton","M S","91","3","0","0","0","0","0","0","0","0"
"Robin Roefs","Sunderland","GK","3150","35","0","0","0","4","0","0.7053439579904079","0","0"
"Jenson Seelt","Sunderland","D S","135","2","0","0","0","0","0","0","0","0"
"Noah Sadiki","Sunderland","M","2914","33","0","1","19","19","1.618839449249208","0.9295975510030985","0","1.618839449249208"
"Dan Neil","Sunderland","S","13","3","0","0","0","0","0","0","0","0"
"El Hadji Malick Diouf","West Ham","D M S","2711","32","0","5","18","29","0.5592501647770405","3.253779597580433","0","0.5592501647770405"
"Freddie Potts","West Ham","M S","1152","22","0","1","3","8","0.21263288706541061","1.2075103465467691","0","0.21263288706541061"
"Quilindschy Hartman","Burnley","D","1843","21","0","5","9","20","0.377465664409101","2.790129487402737","0","0.377465664409101"
"Max Weiss","Burnley","GK","270","3","0","0","0","1","0","0.16086651384830475","0","0"
"David Møller Wolfe","Wolverhampton Wanderers","D S","1059","22","0","2","3","8","0.08255818113684654","1.3046692535281181","0","0.08255818113684654"
"Jorrel Hato","Chelsea","D S","1131","22","0","0","4","8","0.33830922096967697","0.7095918618142605","0","0.33830922096967697"
"Rio Cardines","Crystal Palace","D","90","1","0","0","1","2","0.01844649203121662","0.2980242371559143","0","0.01844649203121662"
"Jair","Nottingham Forest","D S","536","9","0","0","3","1","0.4848349690437317","0.07878735661506653","0","0.4848349690437317"
"Antoni Milambo","Brentford","M","50","1","0","0","0","0","0","0","0","0"
"Joël Piroe","Leeds","F S","216","16","0","0","14","1","1.0837035588920116","0.08580565452575684","0","1.0837035588920116"
"Bradley Burrowes","Aston Villa","S","12","1","0","0","0","0","0","0","0","0"
