player_name,team_title,minutes_played,shots,shots_on_target,goals,key_passes,xgoals,xassists
James Pantemis,Portland Timbers FC,2340,0,0,0,1,0.0,0.0314
Gonzalo Lujan,Inter Miami CF,1964,6,2,0,3,0.3596,0.1789
Tsiki Ntsabeleng,FC Dallas,415,6,1,0,3,0.9494,0.2871
Marcelo Weigandt,Inter Miami CF,1890,8,4,1,9,1.4907,1.3596
Jeong Sang-Bin,Minnesota United FC,1097,14,2,1,12,2.1933,1.5632
Chris Brady,Chicago Fire FC,2999,0,0,0,0,0.0,0.0
Mohamed Farsi,Columbus Crew,1643,16,8,1,21,2.0781,2.2696
Liel Abada,Charlotte FC,1741,46,16,5,27,7.232,4.109
Jaziel Orozco,St. Louis City SC,622,4,2,1,3,0.3046,0.0795
Matti Peltola,D.C. United,1729,9,0,0,5,0.3514,0.6926
George Campbell,CF Montréal,1499,11,2,0,5,0.5036,0.974
Ramiro Enrique,Orlando City SC,1123,30,17,8,5,7.3135,0.253
Felipe Andrade,Houston Dynamo FC,1973,30,14,4,9,3.986,1.8715
Lucas Bartlett,D.C. United,2925,11,3,0,10,0.9745,1.3981
Hirving Lozano,San Diego FC,2182,96,31,11,37,11.8614,4.8003
Maximiliano Falcón,Inter Miami CF,2685,6,2,1,0,0.7787,0.0
Roman Celentano,FC Cincinnati,3424,0,0,0,0,0.0,0.0
Jacob Bartlett,Sporting Kansas City,2178,4,1,0,14,0.1282,1.0078
Alex Freeman,Orlando City SC,2878,46,15,6,43,7.2285,4.9642
Ian Pilcher,San Diego FC,1529,4,2,1,5,0.2914,0.3495
Christian Benteke,D.C. United,2092,78,36,9,17,14.3207,2.3309
Alexander Hack,New York Red Bulls,1666,10,6,1,5,1.2869,0.5726
Aníbal Godoy,San Diego FC,2291,20,7,1,16,1.6884,1.2252
Paddy McNair,San Diego FC,1965,10,5,0,5,0.9705,0.9867
Ben Lundt,St. Louis City SC,916,0,0,0,0,0.0,0.0
Darlington Nagbe,Columbus Crew,3178,10,2,0,14,0.3858,0.529
Dario Župarić,Portland Timbers FC,1963,6,1,0,4,0.4156,0.2028
Steven Moreira,Columbus Crew,3002,20,7,1,19,1.4143,2.2381
Óscar Ustari,Inter Miami CF,2316,0,0,0,0,0.0,0.0
Lucas Sanabria,LA Galaxy,1106,8,4,2,3,0.9393,0.5671
Besard Šabović,Austin FC,2010,23,5,1,16,1.3628,1.9714
Ronaldo Vieira,San Jose Earthquakes,592,9,3,0,4,0.6535,0.1148
Derrick Etienne Jr.,Toronto FC,1124,13,3,0,8,1.2651,1.0563
Manu García,Sporting Kansas City,2364,21,5,2,40,1.5748,4.7966
Nick Scardina,Charlotte FC,900,1,0,0,2,0.0349,0.6396
Ian Harkes,San Jose Earthquakes,2386,32,10,3,23,1.6111,2.7432
Emiro Garcés,LA Galaxy,1928,5,2,1,6,0.331,0.4589
Zavier Gozo,Real Salt Lake,2094,41,20,4,21,5.6673,2.1944
Antony,Portland Timbers FC,2831,64,28,7,30,8.5495,3.5714
Jules-Anthony Vilsaint,Toronto FC,493,12,6,1,4,1.8482,0.5152
Theo Corbeanu,Toronto FC,2554,56,25,6,31,6.1344,3.1483
John Pulskamp,Sporting Kansas City,3456,0,0,0,2,0.0,0.3526
Justin Haak,New York City FC,3862,17,7,2,14,1.5403,2.7368
Bryce Duke,CF Montréal,775,8,4,0,13,0.8636,0.9573
Telasco Segovia,Inter Miami CF,2017,24,14,9,30,3.3515,2.6974
Nectarios Triantis,Minnesota United FC,797,13,6,3,4,0.9588,0.5224
Diego Rubio,Austin FC,1098,24,6,2,12,1.7274,1.2179
Philip Zinckernagel,Chicago Fire FC,2967,78,31,15,71,8.9104,8.6607
Antônio Carlos,Houston Dynamo FC,701,8,2,1,3,0.3987,0.2098
Cole Bassett,Colorado Rapids,2415,43,15,3,29,6.1461,3.3235
Jon Bell,Seattle Sounders FC,1508,3,0,0,1,0.164,0.0402
Tyrese Spicer,Toronto FC,1385,24,9,4,16,1.9109,2.5707
Joseph Rosales,Minnesota United FC,1811,21,6,1,26,1.8021,2.4154
Jack McGlynn,Houston Dynamo FC,2582,58,23,6,84,3.8968,7.8697
Bongokuhle Hlongwane,Minnesota United FC,3039,35,11,3,22,5.1885,3.2282
Daniel Edelman,New York Red Bulls,2239,14,4,1,7,0.8451,0.6028
Lazar Stefanovic,Toronto FC,682,0,0,0,1,0.0,0.0217
